SYMBOL	CATEGORY	LIST
ABCA10		ABC transporters
ABCA12		ABC transporters
ABCA13		ABC transporters
ABCA1		ABC transporters
ABCA2		ABC transporters
ABCA3		ABC transporters
ABCA4		ABC transporters
ABCA5		ABC transporters
ABCA6		ABC transporters
ABCA7		ABC transporters
ABCA8		ABC transporters
ABCA9		ABC transporters
ABCB10		ABC transporters
ABCB11		ABC transporters
ABCB1		ABC transporters
ABCB4		ABC transporters
ABCB5		ABC transporters
ABCB6		ABC transporters
ABCB7		ABC transporters
ABCB8		ABC transporters
ABCB9		ABC transporters
ABCC10		ABC transporters
ABCC11		ABC transporters
ABCC12		ABC transporters
ABCC1		ABC transporters
ABCC2		ABC transporters
ABCC3		ABC transporters
ABCC4		ABC transporters
ABCC5		ABC transporters
ABCC6		ABC transporters
ABCC8		ABC transporters
ABCC9		ABC transporters
ABCD1		ABC transporters
ABCD2		ABC transporters
ABCD3		ABC transporters
ABCD4		ABC transporters
ABCG1		ABC transporters
ABCG2		ABC transporters
ABCG4		ABC transporters
ABCG5		ABC transporters
ABCG8		ABC transporters
CFTR		ABC transporters
DEFB1		ABC transporters
TAP1		ABC transporters
TAP2		ABC transporters
