SYMBOL	CATEGORY	LIST
ACTG1		CAF
ACTN1		CAF
ADAM12		CAF
ADAMTS12		CAF
ADAMTS2		CAF
ADM		CAF
AEBP1		CAF
AGT		CAF
AHNAK2		CAF
ALDH1A3		CAF
ALDH1L2		CAF
ANGPTL2		CAF
ANOS1		CAF
ANTXR1		CAF
ANXA2		CAF
ANXA5		CAF
APCDD1		CAF
ARID5B		CAF
ARL4C		CAF
ARMCX3		CAF
ARPC2		CAF
ASPN		CAF
ATOX1		CAF
ATP6AP2		CAF
AXL		CAF
BASP1		CAF
BCAT1		CAF
BEX3		CAF
BGN		CAF
BHLHE41		CAF
BMP1		CAF
BST2		CAF
C11orf96		CAF
C1R		CAF
C1S		CAF
C3		CAF
C9orf3		CAF
CALD1		CAF
CAVIN3		CAF
CCDC71L		CAF
CCDC80		CAF
CCL11		CAF
CCND1		CAF
CCND2		CAF
CD248		CAF
CD63		CAF
CD82		CAF
CD99		CAF
CDH11		CAF
CDKN1C		CAF
CEBPB		CAF
CH25H		CAF
CHD3		CAF
CHI3L1		CAF
CKAP4		CAF
CLEC11A		CAF
CLMP		CAF
CMTM3		CAF
CNN2		CAF
CNN3		CAF
COL10A1		CAF
COL11A1		CAF
COL12A1		CAF
COL14A1		CAF
COL16A1		CAF
COL1A1		CAF
COL1A2		CAF
COL3A1		CAF
COL5A1		CAF
COL5A2		CAF
COL6A1		CAF
COL6A2		CAF
COL6A3		CAF
COL7A1		CAF
COL8A1		CAF
COL9A1		CAF
COMP		CAF
COPZ2		CAF
CPEB4		CAF
CPXM1		CAF
CRABP2		CAF
CREB3L1		CAF
CSGALNACT2		CAF
CST1		CAF
CST2		CAF
CTGF		CAF
CTHRC1		CAF
CTSA		CAF
CTSK		CAF
CTSL		CAF
CTSZ		CAF
CXCL14		CAF
CXCL1		CAF
CXCL3		CAF
CXCL5		CAF
CXCL8		CAF
CYBRD1		CAF
CYR61		CAF
DAB2		CAF
DCBLD1		CAF
DCN		CAF
DDR2		CAF
DIO2		CAF
DKK2		CAF
DKK3		CAF
DNAJB1		CAF
DPT		CAF
DPYSL3		CAF
DSEL		CAF
DUSP1		CAF
ECM1		CAF
EEF1A1		CAF
EFEMP2		CAF
EID1		CAF
ELN		CAF
EMILIN1		CAF
EMP3		CAF
ENAH		CAF
ENC1		CAF
EPSTI1		CAF
EPYC		CAF
ERLEC1		CAF
EVA1B		CAF
F2R		CAF
FAM114A1		CAF
FAM20C		CAF
FAP		CAF
FAT1		CAF
FAT4		CAF
FBLN1		CAF
FBLN2		CAF
FBN1		CAF
FBXO32		CAF
FERMT2		CAF
FGD6		CAF
FGF7		CAF
FHL2		CAF
FIBIN		CAF
FKBP10		CAF
FKBP11		CAF
FKBP7		CAF
FKBP9		CAF
FMOD		CAF
FN1		CAF
FNDC1		CAF
FRMD6		CAF
FRZB		CAF
FSTL1		CAF
FSTL3		CAF
FTH1		CAF
FTL		CAF
FZD1		CAF
GADD45A		CAF
GAPDH		CAF
GAS1		CAF
GEM		CAF
GGT5		CAF
GJB2		CAF
GLT8D2		CAF
GOLIM4		CAF
GOLM1		CAF
GPC1		CAF
GPC6		CAF
GPNMB		CAF
GREM1		CAF
GSTO1		CAF
GULP1		CAF
HCFC1R1		CAF
HOPX		CAF
HSP90AA1		CAF
HSP90B1		CAF
HSPA1A		CAF
HSPA1B		CAF
HSPA5		CAF
HSPA6		CAF
HSPB1		CAF
HSPH1		CAF
HTRA1		CAF
HTRA3		CAF
ID3		CAF
IER5L		CAF
IGFBP4		CAF
IGFBP5		CAF
IGFBP6		CAF
IGFBP7		CAF
IGLC2		CAF
IGLC3		CAF
IL1R1		CAF
INAFM1		CAF
ISG15		CAF
ISLR		CAF
ITGA11		CAF
ITGAV		CAF
ITGB1		CAF
ITGB5		CAF
ITM2C		CAF
JDP2		CAF
KCNQ1OT1		CAF
KDELR3		CAF
KIAA1217		CAF
KIF26B		CAF
LAMP1		CAF
LAPTM4A		CAF
LEF1		CAF
LGALS1		CAF
LGALS3BP		CAF
LGALS3		CAF
LIMS1		CAF
LINC01082		CAF
LINC01705		CAF
LMAN1		CAF
LMCD1		CAF
LMO7		CAF
LOX		CAF
LOXL2		CAF
LRP1		CAF
LRRC15		CAF
LRRC17		CAF
LTBP1		CAF
LTBP2		CAF
LUM		CAF
MAB21L2		CAF
MAFB		CAF
MAF		CAF
MAP1A		CAF
MAP4K4		CAF
MAPKAP1		CAF
MARCKS		CAF
MDK		CAF
MEIS1		CAF
MFGE8		CAF
MITF		CAF
MMP11		CAF
MMP1		CAF
MMP23B		CAF
MMP2		CAF
MMP3		CAF
MOXD1		CAF
MXRA5		CAF
MXRA7		CAF
MXRA8		CAF
MYH10		CAF
MYH9		CAF
MYO1E		CAF
MYOF		CAF
NAP1L1		CAF
NBL1		CAF
NCAM2		CAF
NDN		CAF
NEAT1		CAF
NFIC		CAF
NID2		CAF
NNMT		CAF
NORAD		CAF
NR2F1		CAF
NTM		CAF
NUPR1		CAF
NXN		CAF
OAF		CAF
OSBPL8		CAF
OSTC		CAF
P3H1		CAF
P4HA1		CAF
P4HA2		CAF
PALLD		CAF
PAM		CAF
PAPSS2		CAF
PBX3		CAF
PCDH7		CAF
PCOLCE		CAF
PDGFC		CAF
PDIA6		CAF
PDLIM3		CAF
PDLIM4		CAF
PDLIM7		CAF
PDPN		CAF
PERP		CAF
PHLDA1		CAF
PHLDA3		CAF
PITX1		CAF
PKM		CAF
PLAU		CAF
PLIN3		CAF
PLOD2		CAF
PLPP4		CAF
PLTP		CAF
PLXDC2		CAF
PMEPA1		CAF
PMP22		CAF
