SYMBOL	CATEGORY	LIST
ACVR2A		CRC
AMER1		CRC
APC		CRC
ARID1A		CRC
ARID1B		CRC
ATM		CRC
BCL9		CRC
BCL9L		CRC
BCOR		CRC
BCORL1		CRC
BIRC6		CRC
BMPR1A		CRC
BRAF		CRC
BRCA2		CRC
CARD11		CRC
CCDC6		CRC
CTNNB1		CRC
DICER1		CRC
DUSP16		CRC
EGFR		CRC
EIF3E		CRC
EP300		CRC
EPHA3		CRC
ERBB2		CRC
ERBB3		CRC
FANCD2		CRC
FAT3		CRC
FAT4		CRC
FBXW7		CRC
FLCN		CRC
GNAS		CRC
GRIN2A		CRC
HRAS		CRC
HSPG2		CRC
KMT2C		CRC
KRAS		CRC
LATS1		CRC
LRP1B		CRC
MAP2K1		CRC
MAP2K4		CRC
MAP3K1		CRC
MTCP1		CRC
MTOR		CRC
MYH9		CRC
NBEA		CRC
NCOR2		CRC
NF1		CRC
NIN		CRC
NRAS		CRC
PARP4		CRC
PCBP1		CRC
PIK3CA		CRC
PPP2R1A		CRC
PTEN		CRC
PTPN11		CRC
PTPRC		CRC
RBM10		CRC
RNF43		CRC
RNF6		CRC
SIRPA		CRC
SMAD2		CRC
SMAD3		CRC
SMAD4		CRC
SMARCA4		CRC
SOX9		CRC
TBX3		CRC
TCF7L2		CRC
TGFBR2		CRC
TGIF1		CRC
TP53		CRC
USP6		CRC
WNK2		CRC
