SYMBOL	CATEGORY	LIST
ADORA2A	Immunoinhibitor	Charoentong
BTLA	Immunoinhibitor	Charoentong
CD160	Immunoinhibitor	Charoentong
CD244	Immunoinhibitor	Charoentong
CD96	Immunoinhibitor	Charoentong
CSF1R	Immunoinhibitor	Charoentong
CTLA4	Immunoinhibitor	Charoentong
HAVCR2	Immunoinhibitor	Charoentong
IDO1	Immunoinhibitor	Charoentong
IL10	Immunoinhibitor	Charoentong
IL10RB	Immunoinhibitor	Charoentong
KDR	Immunoinhibitor	Charoentong
KIR2DL1	Immunoinhibitor	Charoentong
KIR2DL2	Immunoinhibitor	Charoentong
KIR2DL3	Immunoinhibitor	Charoentong
LAG3	Immunoinhibitor	Charoentong
LGALS9	Immunoinhibitor	Charoentong
PDCD1	Immunoinhibitor	Charoentong
PVRL2	Immunoinhibitor	Charoentong
TGFB1	Immunoinhibitor	Charoentong
TGFBR1	Immunoinhibitor	Charoentong
TIGIT	Immunoinhibitor	Charoentong
VTCN1	Immunoinhibitor	Charoentong
BTNL2	Immunostimulator	Charoentong
C10orf54	Immunostimulator	Charoentong
CD274	Immunostimulator	Charoentong
CD276	Immunostimulator	Charoentong
CD27	Immunostimulator	Charoentong
CD28	Immunostimulator	Charoentong
CD40	Immunostimulator	Charoentong
CD40LG	Immunostimulator	Charoentong
CD48	Immunostimulator	Charoentong
CD70	Immunostimulator	Charoentong
CD80	Immunostimulator	Charoentong
CD86	Immunostimulator	Charoentong
CXCL12	Immunostimulator	Charoentong
CXCR4	Immunostimulator	Charoentong
ENTPD1	Immunostimulator	Charoentong
HHLA2	Immunostimulator	Charoentong
ICOS	Immunostimulator	Charoentong
ICOSLG	Immunostimulator	Charoentong
IL2RA	Immunostimulator	Charoentong
IL6	Immunostimulator	Charoentong
IL6R	Immunostimulator	Charoentong
KLRK1	Immunostimulator	Charoentong
LTA	Immunostimulator	Charoentong
MICA	Immunostimulator	Charoentong
MICB	Immunostimulator	Charoentong
NKG2A	Immunostimulator	Charoentong
NT5E	Immunostimulator	Charoentong
PDCD1LG2	Immunostimulator	Charoentong
PVR	Immunostimulator	Charoentong
RAET1E	Immunostimulator	Charoentong
TMEM173	Immunostimulator	Charoentong
TMIGD2	Immunostimulator	Charoentong
TNFRSF13B	Immunostimulator	Charoentong
TNFRSF13C	Immunostimulator	Charoentong
TNFRSF14	Immunostimulator	Charoentong
TNFRSF17	Immunostimulator	Charoentong
TNFRSF18	Immunostimulator	Charoentong
TNFRSF25	Immunostimulator	Charoentong
TNFRSF4	Immunostimulator	Charoentong
TNFRSF8	Immunostimulator	Charoentong
TNFRSF9	Immunostimulator	Charoentong
TNFSF13B	Immunostimulator	Charoentong
TNFSF13	Immunostimulator	Charoentong
TNFSF14	Immunostimulator	Charoentong
TNFSF15	Immunostimulator	Charoentong
TNFSF18	Immunostimulator	Charoentong
TNFSF4	Immunostimulator	Charoentong
TNFSF9	Immunostimulator	Charoentong
ULBP1	Immunostimulator	Charoentong
B2M	MHC	Charoentong
HLA-A	MHC	Charoentong
HLA-B	MHC	Charoentong
HLA-C	MHC	Charoentong
HLA-DMA	MHC	Charoentong
HLA-DMB	MHC	Charoentong
HLA-DOA	MHC	Charoentong
HLA-DOB	MHC	Charoentong
HLA-DPA1	MHC	Charoentong
HLA-DPB1	MHC	Charoentong
HLA-DQA1	MHC	Charoentong
HLA-DQA2	MHC	Charoentong
HLA-DQB1	MHC	Charoentong
HLA-DRA	MHC	Charoentong
HLA-DRB1	MHC	Charoentong
HLA-E	MHC	Charoentong
HLA-F	MHC	Charoentong
HLA-G	MHC	Charoentong
TAP1	MHC	Charoentong
TAP2	MHC	Charoentong
TAPBP	MHC	Charoentong
