SYMBOL	CATEGORY	LIST
ACVR2A		Compendium
AMER1		Compendium
APC		Compendium
ARID1A		Compendium
ARID1B		Compendium
ATM		Compendium
BCL9		Compendium
BCL9L		Compendium
BCOR		Compendium
BCORL1		Compendium
BIRC6		Compendium
BMPR1A		Compendium
BRAF		Compendium
BRCA2		Compendium
CARD11		Compendium
CCDC6		Compendium
CTNNB1		Compendium
DICER1		Compendium
DUSP16		Compendium
EGFR		Compendium
EIF3E		Compendium
EP300		Compendium
EPHA3		Compendium
ERBB2		Compendium
ERBB3		Compendium
FANCD2		Compendium
FAT3		Compendium
FAT4		Compendium
FBXW7		Compendium
FLCN		Compendium
GNAS		Compendium
GRIN2A		Compendium
HRAS		Compendium
HSPG2		Compendium
KMT2C		Compendium
KRAS		Compendium
LATS1		Compendium
LRP1B		Compendium
MAP2K1		Compendium
MAP2K4		Compendium
MAP3K1		Compendium
MTCP1		Compendium
MTOR		Compendium
MYH9		Compendium
NBEA		Compendium
NCOR2		Compendium
NF1		Compendium
NIN		Compendium
NRAS		Compendium
PARP4		Compendium
PCBP1		Compendium
PIK3CA		Compendium
PPP2R1A		Compendium
PTEN		Compendium
PTPN11		Compendium
PTPRC		Compendium
RBM10		Compendium
RNF43		Compendium
RNF6		Compendium
SIRPA		Compendium
SMAD2		Compendium
SMAD3		Compendium
SMAD4		Compendium
SMARCA4		Compendium
SOX9		Compendium
TBX3		Compendium
TCF7L2		Compendium
TGFBR2		Compendium
TGIF1		Compendium
TP53		Compendium
USP6		Compendium
WNK2		Compendium
