SYMBOL	CATEGORY	LIST
ABI3BP		HALLMARK_EMT
ACTA2		HALLMARK_EMT
ADAM12		HALLMARK_EMT
ANPEP		HALLMARK_EMT
APLP1		HALLMARK_EMT
AREG		HALLMARK_EMT
BASP1		HALLMARK_EMT
BDNF		HALLMARK_EMT
BGN		HALLMARK_EMT
BMP1		HALLMARK_EMT
CADM1		HALLMARK_EMT
CALD1		HALLMARK_EMT
CALU		HALLMARK_EMT
CAP2		HALLMARK_EMT
CAPG		HALLMARK_EMT
CCN1		HALLMARK_EMT
CCN2		HALLMARK_EMT
CD44		HALLMARK_EMT
CD59		HALLMARK_EMT
CDH11		HALLMARK_EMT
CDH2		HALLMARK_EMT
CDH6		HALLMARK_EMT
COL11A1		HALLMARK_EMT
COL12A1		HALLMARK_EMT
COL16A1		HALLMARK_EMT
COL1A1		HALLMARK_EMT
COL1A2		HALLMARK_EMT
COL3A1		HALLMARK_EMT
COL4A1		HALLMARK_EMT
COL4A2		HALLMARK_EMT
COL5A1		HALLMARK_EMT
COL5A2		HALLMARK_EMT
COL5A3		HALLMARK_EMT
COL6A2		HALLMARK_EMT
COL6A3		HALLMARK_EMT
COL7A1		HALLMARK_EMT
COL8A2		HALLMARK_EMT
COLGALT1		HALLMARK_EMT
COMP		HALLMARK_EMT
COPA		HALLMARK_EMT
CRLF1		HALLMARK_EMT
CTHRC1		HALLMARK_EMT
CXCL1		HALLMARK_EMT
CXCL12		HALLMARK_EMT
CXCL6		HALLMARK_EMT
CXCL8		HALLMARK_EMT
DAB2		HALLMARK_EMT
DCN		HALLMARK_EMT
DKK1		HALLMARK_EMT
DPYSL3		HALLMARK_EMT
DST		HALLMARK_EMT
ECM1		HALLMARK_EMT
ECM2		HALLMARK_EMT
EDIL3		HALLMARK_EMT
EFEMP2		HALLMARK_EMT
ELN		HALLMARK_EMT
EMP3		HALLMARK_EMT
ENO2		HALLMARK_EMT
FAP		HALLMARK_EMT
FAS		HALLMARK_EMT
FBLN1		HALLMARK_EMT
FBLN2		HALLMARK_EMT
FBLN5		HALLMARK_EMT
FBN1		HALLMARK_EMT
FBN2		HALLMARK_EMT
FERMT2		HALLMARK_EMT
FGF2		HALLMARK_EMT
FLNA		HALLMARK_EMT
FMOD		HALLMARK_EMT
FN1		HALLMARK_EMT
FOXC2		HALLMARK_EMT
FSTL1		HALLMARK_EMT
FSTL3		HALLMARK_EMT
FUCA1		HALLMARK_EMT
FZD8		HALLMARK_EMT
GADD45A		HALLMARK_EMT
GADD45B		HALLMARK_EMT
GAS1		HALLMARK_EMT
GEM		HALLMARK_EMT
GJA1		HALLMARK_EMT
GLIPR1		HALLMARK_EMT
GPC1		HALLMARK_EMT
GPX7		HALLMARK_EMT
GREM1		HALLMARK_EMT
GREM1		HALLMARK_EMT
GREM1		HALLMARK_EMT
HTRA1		HALLMARK_EMT
ID2		HALLMARK_EMT
IGFBP2		HALLMARK_EMT
IGFBP3		HALLMARK_EMT
IGFBP4		HALLMARK_EMT
IL15		HALLMARK_EMT
IL32		HALLMARK_EMT
IL6		HALLMARK_EMT
INHBA		HALLMARK_EMT
ITGA2		HALLMARK_EMT
ITGA5		HALLMARK_EMT
ITGAV		HALLMARK_EMT
ITGB1		HALLMARK_EMT
ITGB3		HALLMARK_EMT
ITGB5		HALLMARK_EMT
JUN		HALLMARK_EMT
LAMA1		HALLMARK_EMT
LAMA2		HALLMARK_EMT
LAMA3		HALLMARK_EMT
LAMC1		HALLMARK_EMT
LAMC2		HALLMARK_EMT
LGALS1		HALLMARK_EMT
LOX		HALLMARK_EMT
LOXL1		HALLMARK_EMT
LOXL2		HALLMARK_EMT
LRP1		HALLMARK_EMT
LRRC15		HALLMARK_EMT
LUM		HALLMARK_EMT
MAGEE1		HALLMARK_EMT
MATN2		HALLMARK_EMT
MATN3		HALLMARK_EMT
MCM7		HALLMARK_EMT
MEST		HALLMARK_EMT
MFAP5		HALLMARK_EMT
MGP		HALLMARK_EMT
MMP1		HALLMARK_EMT
MMP1		HALLMARK_EMT
MMP14		HALLMARK_EMT
MMP2		HALLMARK_EMT
MMP3		HALLMARK_EMT
MSX1		HALLMARK_EMT
MXRA5		HALLMARK_EMT
MYL9		HALLMARK_EMT
MYLK		HALLMARK_EMT
NID2		HALLMARK_EMT
NNMT		HALLMARK_EMT
NOTCH2		HALLMARK_EMT
NT5E		HALLMARK_EMT
NTM		HALLMARK_EMT
OXTR		HALLMARK_EMT
P3H1		HALLMARK_EMT
PCOLCE		HALLMARK_EMT
PCOLCE2		HALLMARK_EMT
