SYMBOL	CATEGORY	LIST
HLA-A		Patel
B2M		Patel
MLANA		Patel
SOX10		Patel
MIR101-2		Patel
CD58		Patel
TAPBP		Patel
TAP2		Patel
SEC14L3		Patel
TAF3		Patel
SRP54		Patel
MAD2L1		Patel
MIR548S		Patel
RNPS1		Patel
PSMB5		Patel
RPL10A		Patel
CRKL		Patel
APLNR		Patel
TAP1		Patel
SEC14L2		Patel
COL17A1		Patel
RPL23		Patel
RPL17		Patel
MIR1299		Patel
PLD3		Patel
RIPK1		Patel
SUPT6H		Patel
RPL38		Patel
EEF2		Patel
KIF11		Patel
EQTN		Patel
RPL24		Patel
RSL24D1		Patel
MIR654		Patel
MIPOL1		Patel
SEC61A1		Patel
TM4SF1		Patel
RBM18		Patel
NIPBL		Patel
TAF5		Patel
EPS15L1		Patel
KCNMA1		Patel
GABPA		Patel
AURKA		Patel
KHDRBS1		Patel
FAM86B1		Patel
VHL		Patel
PRPF40A		Patel
DNTTIP2		Patel
ASH2L		Patel
RTF1		Patel
ACTG1		Patel
CASP8		Patel
SRPRA		Patel
FCHO2		Patel
SLC25A51		Patel
CFAP73		Patel
SLC1A7		Patel
PSMA6		Patel
FADD		Patel
MIR1268B		Patel
ZNF716		Patel
CMTM6		Patel
BANK1		Patel
FSHB		Patel
SCMH1		Patel
NUDT5		Patel
STAT1		Patel
RPL23A		Patel
COL23A1		Patel
RPL18A		Patel
ACY1		Patel
POU2F1		Patel
DRICH1		Patel
FAM47C		Patel
MIR1207		Patel
ABCC9		Patel
NHLRC3		Patel
ANKLE2		Patel
KCNRG		Patel
CRTC3		Patel
RPL18		Patel
PMAIP1		Patel
NIP7		Patel
RPL9		Patel
CLPSL2		Patel
STK38		Patel
AHSP		Patel
MED19		Patel
GPX8		Patel
TCEAL7		Patel
ELP5		Patel
PSMB3		Patel
RPS10		Patel
CLECL1		Patel
MBTPS2		Patel
ARIH1		Patel
PPIP5K2		Patel
MED22		Patel
MIR3929		Patel
JAK1		Patel
MIR4489		Patel
MAU2		Patel
C11orf74		Patel
ROM1		Patel
HNRNPAB		Patel
APH1A		Patel
DHRS4L2		Patel
RPTOR		Patel
SP1		Patel
MIR544B		Patel
LRTM2		Patel
MIR520A		Patel
IRF2		Patel
RAET1L		Patel
MIR4467		Patel
KANSL1L		Patel
MIR4503		Patel
INCENP		Patel
RAD1		Patel
RNASE6		Patel
ERCC4		Patel
SKA3		Patel
IFNA8		Patel
MIR6789		Patel
TSR1		Patel
ST18		Patel
SFTPA2		Patel
PTK7		Patel
LILRA3		Patel
SEMA6B		Patel
GPN1		Patel
MSN		Patel
SMARCB1		Patel
RPL8		Patel
RPL15		Patel
FOXM1		Patel
INPP4B		Patel
KRTAP24-1		Patel
TAF8		Patel
OTC		Patel
TBP		Patel
VN1R1		Patel
WDR74		Patel
TCHHL1		Patel
RPL3		Patel
BRAF		Patel
NR4A3		Patel
CCP110		Patel
SYTL2		Patel
U2SURP		Patel
TAF7		Patel
NLGN3		Patel
WAC		Patel
MIR3925		Patel
USP10		Patel
