SYMBOL	CATEGORY	LIST
CXCL9	Seiwert	Inflammation
CXCL10	Seiwert	Inflammation
HLA-DRA	Seiwert	Inflammation
IDO1	Seiwert	Inflammation
IFNG	Seiwert	Inflammation
STAT1	Seiwert	Inflammation
CCL5	Danaher	Inflammation
CD27	Danaher	Inflammation
CD274	Danaher	Inflammation
CD276	Danaher	Inflammation
CD8A	Danaher	Inflammation
CMKLR1	Danaher	Inflammation
CXCL9	Danaher	Inflammation
CXCR6	Danaher	Inflammation
HLA-DQA1	Danaher	Inflammation
HLA-DRB1	Danaher	Inflammation
HLA-E	Danaher	Inflammation
IDO1	Danaher	Inflammation
LAG3	Danaher	Inflammation
NKG7	Danaher	Inflammation
PDCD1LG2	Danaher	Inflammation
PSMB10	Danaher	Inflammation
STAT1	Danaher	Inflammation
TIGIT	Danaher	Inflammation
CCL5	Ayers	Inflammation
CD2	Ayers	Inflammation
CD3D	Ayers	Inflammation
CD3E	Ayers	Inflammation
CIITA	Ayers	Inflammation
CXCL10	Ayers	Inflammation
CXCL13	Ayers	Inflammation
CXCR6	Ayers	Inflammation
GZMB	Ayers	Inflammation
GZMK	Ayers	Inflammation
HLA-DRA	Ayers	Inflammation
HLA-E	Ayers	Inflammation
IDO1	Ayers	Inflammation
IL2RG	Ayers	Inflammation
LAG3	Ayers	Inflammation
NKG7	Ayers	Inflammation
STAT1	Ayers	Inflammation
TAGAP	Ayers	Inflammation
