SYMBOL	CATEGORY	LIST
B2M	classical_class_I	MHC
HLA-A	classical_class_I	MHC
HLA-B	classical_class_I	MHC
HLA-C	classical_class_I	MHC
HLA-DPA1	classical_class_II	MHC
HLA-DPB1	classical_class_II	MHC
HLA-DQA1	classical_class_II	MHC
HLA-DQA2	classical_class_II	MHC
HLA-DQB1	classical_class_II	MHC
HLA-DRA	classical_class_II	MHC
HLA-DRB1	classical_class_II	MHC
TAP1	classical_class_I	MHC
TAP2	classical_class_I	MHC
TAPBP	classical_class_I	MHC
HLA-E	nonclass_class_I	MHC
HLA-F	nonclass_class_I	MHC
HLA-G	nonclass_class_I	MHC
HLA-DMA	nonclass_class_II	MHC
HLA-DMB	nonclass_class_II	MHC
HLA-DOA	nonclass_class_II	MHC
HLA-DOB	nonclass_class_II	MHC
