SYMBOL	CATEGORY	LIST
ACTB		StemEpith
ACTG1		StemEpith
ACTR2		StemEpith
ADD3		StemEpith
ADH1C		StemEpith
AGR2		StemEpith
AGR3		StemEpith
AKR1C3		StemEpith
ALDH2		StemEpith
ANP32B		StemEpith
ANXA2		StemEpith
APEX1		StemEpith
APP		StemEpith
ARPC3		StemEpith
ASAH1		StemEpith
ATP1B1		StemEpith
ATP5MC1		StemEpith
ATP5MC2		StemEpith
ATP6AP2		StemEpith
ATP8B1		StemEpith
B3GALT5		StemEpith
B3GNT7		StemEpith
BACE2		StemEpith
BEX3		StemEpith
BRI3BP		StemEpith
BTF3		StemEpith
C10orf99		StemEpith
C12orf57		StemEpith
C15orf48		StemEpith
C1QBP		StemEpith
C6orf48		StemEpith
CASP6		StemEpith
CCND1		StemEpith
CCND2		StemEpith
CCNI		StemEpith
CCT2		StemEpith
CD24		StemEpith
CD63		StemEpith
CD74		StemEpith
CD99		StemEpith
CD9		StemEpith
CDH17		StemEpith
CDK6		StemEpith
CDX1		StemEpith
CERS6		StemEpith
CES2		StemEpith
CFTR		StemEpith
COMMD6		StemEpith
CPNE3		StemEpith
CTSS		StemEpith
CXCL3		StemEpith
CYB5A		StemEpith
DBI		StemEpith
DDX21		StemEpith
DMBT1		StemEpith
DNAJB1		StemEpith
DNAJC15		StemEpith
DSG2		StemEpith
DSP		StemEpith
DSTN		StemEpith
DUOX2		StemEpith
DUT		StemEpith
ECI2		StemEpith
EEF1A1		StemEpith
EEF1B2		StemEpith
EHF		StemEpith
EID1		StemEpith
EIF1		StemEpith
EIF3E		StemEpith
EIF3F		StemEpith
EIF3L		StemEpith
EMP2		StemEpith
ENO1		StemEpith
EPCAM		StemEpith
ESD		StemEpith
ESRP1		StemEpith
ETHE1		StemEpith
ETS2		StemEpith
FABP5		StemEpith
FAM162A		StemEpith
FAM177A1		StemEpith
FAM3D		StemEpith
FBL		StemEpith
FBP1		StemEpith
FERMT1		StemEpith
FOSB		StemEpith
FOS		StemEpith
FOXP1		StemEpith
FTL		StemEpith
GALNT7		StemEpith
GAPDH		StemEpith
GAS6		StemEpith
GCHFR		StemEpith
GDF15		StemEpith
GFPT1		StemEpith
GLUL		StemEpith
GMNN		StemEpith
GNAQ		StemEpith
GNPTAB		StemEpith
GOLIM4		StemEpith
GOLM1		StemEpith
GPR160		StemEpith
GPX2		StemEpith
GSTO1		StemEpith
GSTP1		StemEpith
H2AFY		StemEpith
H2AFZ		StemEpith
HADH		StemEpith
HIF1A		StemEpith
HMGB1		StemEpith
HMGCS2		StemEpith
HMGN1		StemEpith
HMGN3		StemEpith
HNRNPA1		StemEpith
HNRNPH1		StemEpith
HSP90AA1		StemEpith
HSP90AB1		StemEpith
HSP90B1		StemEpith
HSPA1A		StemEpith
HSPD1		StemEpith
HSPE1		StemEpith
ID2		StemEpith
ID3		StemEpith
IFITM3		StemEpith
IFT57		StemEpith
IGFBP2		StemEpith
IGFBP4		StemEpith
IMPDH2		StemEpith
IRF2BP2		StemEpith
ITGA6		StemEpith
ITM2B		StemEpith
ITM2C		StemEpith
KCNE3		StemEpith
KDM5B		StemEpith
KLF5		StemEpith
KRTCAP3		StemEpith
LAPTM4A		StemEpith
LBR		StemEpith
LCN2		StemEpith
LDHA		StemEpith
LDHB		StemEpith
LEFTY1		StemEpith
LGALS2		StemEpith
LGALS3		StemEpith
LGALS4		StemEpith
LIMA1		StemEpith
LPP		StemEpith
LRRC75A		StemEpith
LSM5		StemEpith
MAOA		StemEpith
MARCKS		StemEpith
MARCKSL1		StemEpith
MECOM		StemEpith
MFHAS1		StemEpith
MGST2		StemEpith
MGST3		StemEpith
MLEC		StemEpith
MT1E		StemEpith
MT1F		StemEpith
MT1G		StemEpith
MT1M		StemEpith
MT1X		StemEpith
MT2A		StemEpith
MTDH		StemEpith
MTUS1		StemEpith
MUC12		StemEpith
MUC4		StemEpith
MUC5B		StemEpith
MYB		StemEpith
NACA		StemEpith
NCL		StemEpith
NDUFA4		StemEpith
NET1		StemEpith
NFIA		StemEpith
NFIB		StemEpith
NFIC		StemEpith
NFKBIZ		StemEpith
NHP2		StemEpith
NOP53		StemEpith
NPM1		StemEpith
NSA2		StemEpith
NUCKS1		StemEpith
NUPR1		StemEpith
NXPE1		StemEpith
NXPE4		StemEpith
OLFM4		StemEpith
OSTC		StemEpith
PABPC1		StemEpith
PALLD		StemEpith
PAPSS2		StemEpith
PCK1		StemEpith
PDCD4		StemEpith
PDIA3		StemEpith
PDIA6		StemEpith
PDK4		StemEpith
PDLIM1		StemEpith
PDZK1IP1		StemEpith
PEBP1		StemEpith
PFN1		StemEpith
PGK1		StemEpith
PGM2L1		StemEpith
PGRMC1		StemEpith
PI3		StemEpith
PIGR		StemEpith
PIM3		StemEpith
PKM		StemEpith
PKP2		StemEpith
PLA2G2A		StemEpith
PLBD1		StemEpith
PLCB4		StemEpith
PLCE1		StemEpith
PLP2		StemEpith
POMP		StemEpith
PON2		StemEpith
PPA1		StemEpith
PPIB		StemEpith
PPIC		StemEpith
PPIG		StemEpith
PPP1R12B		StemEpith
PPP1R14B		StemEpith
PPP1R1B		StemEpith
PRAC1		StemEpith
PRDX1		StemEpith
PRDX5		StemEpith
PRKACB		StemEpith
PSMA7		StemEpith
PTMA		StemEpith
PYCARD		StemEpith
RAB13		StemEpith
RAB25		StemEpith
RAB32		StemEpith
RAC1		StemEpith
RACK1		StemEpith
RAN		StemEpith
RARRES1		StemEpith
RARRES2		StemEpith
RBM47		StemEpith
REG1A		StemEpith
RNF186		StemEpith
RPL10A		StemEpith
RPL10		StemEpith
RPL12		StemEpith
RPL13A		StemEpith
RPL13		StemEpith
RPL14		StemEpith
RPL18A		StemEpith
RPL19		StemEpith
RPL21		StemEpith
RPL22		StemEpith
RPL23A		StemEpith
RPL23		StemEpith
RPL24		StemEpith
RPL27		StemEpith
RPL28		StemEpith
RPL30		StemEpith
RPL31		StemEpith
RPL32		StemEpith
RPL34		StemEpith
RPL35A		StemEpith
RPL36A		StemEpith
RPL36		StemEpith
RPL37		StemEpith
RPL39		StemEpith
RPL3		StemEpith
RPL4		StemEpith
RPL5		StemEpith
RPL6		StemEpith
RPL7A		StemEpith
RPL7		StemEpith
RPL9		StemEpith
RPLP0		StemEpith
RPLP1		StemEpith
RPN2		StemEpith
RPS10		StemEpith
RPS12		StemEpith
RPS13		StemEpith
RPS14		StemEpith
RPS15A		StemEpith
RPS16		StemEpith
RPS18		StemEpith
RPS19		StemEpith
RPS20		StemEpith
RPS21		StemEpith
RPS23		StemEpith
RPS24		StemEpith
RPS25		StemEpith
RPS27A		StemEpith
RPS27		StemEpith
RPS2		StemEpith
RPS3A		StemEpith
RPS3		StemEpith
RPS4X		StemEpith
RPS4Y1		StemEpith
RPS5		StemEpith
RPS6		StemEpith
RPS6KA3		StemEpith
RPS7		StemEpith
RPS8		StemEpith
RPS9		StemEpith
RPSA		StemEpith
RSL1D1		StemEpith
RSL24D1		StemEpith
RTN4		StemEpith
S100A10		StemEpith
S100A11		StemEpith
S100A14		StemEpith
S100A16		StemEpith
SAP18		StemEpith
SATB2		StemEpith
SEC61B		StemEpith
SELENOW		StemEpith
SERP1		StemEpith
SERPINB1		StemEpith
SET		StemEpith
SH3BGRL		StemEpith
SLC12A2		StemEpith
SLC25A5		StemEpith
SLC28A2		StemEpith
SLC38A1		StemEpith
SLPI		StemEpith
SNHG8		StemEpith
SNORC		StemEpith
SNRPF		StemEpith
SPCS1		StemEpith
SPINK1		StemEpith
SPINK5		StemEpith
SQOR		StemEpith
SRI		StemEpith
SRSF2		StemEpith
SSB		StemEpith
SSR4		StemEpith
SUB1		StemEpith
SULT1B1		StemEpith
SYPL1		StemEpith
TC2N		StemEpith
TCEA3		StemEpith
TCEAL9		StemEpith
TFCP2L1		StemEpith
TKT		StemEpith
TMEM123		StemEpith
TMEM176B		StemEpith
TMEM238		StemEpith
TMSB10		StemEpith
TNFRSF11A		StemEpith
TOMM20		StemEpith
TPM3		StemEpith
TRABD2A		StemEpith
TRIM2		StemEpith
TSPAN13		StemEpith
TSPAN6		StemEpith
TSPAN8		StemEpith
TSPO		StemEpith
TST		StemEpith
TTC3		StemEpith
TXN		StemEpith
UGDH		StemEpith
UGT2B17		StemEpith
UQCRC1		StemEpith
UQCRH		StemEpith
YBX1		StemEpith
YBX3		StemEpith
YWHAB		StemEpith
ZFAS1		StemEpith
ZFP36L1		StemEpith
ZFP36L2		StemEpith
ZKSCAN1		StemEpith
