TERM	SYMBOL	CATEGORY	LIST
ACC	ATRX		Compendium
ACC	BCOR		Compendium
ACC	CTNNB1		Compendium
ACC	DAXX		Compendium
ACC	FAT4		Compendium
ACC	GNAS		Compendium
ACC	KMT2A		Compendium
ACC	MEN1		Compendium
ACC	NF1		Compendium
ACC	PRKAR1A		Compendium
ACC	RB1		Compendium
ACC	SETBP1		Compendium
ACC	TNC		Compendium
ACC	TP53		Compendium
ACC	ZNRF3		Compendium
ACY	AKT1		Compendium
ACY	CDKN2A		Compendium
ACY	CRTC1		Compendium
ACY	ESRRA		Compendium
ACY	KMT2C		Compendium
ACY	KMT2D		Compendium
ACY	NOTCH2		Compendium
ACY	PIK3CA		Compendium
ACY	PIK3R1		Compendium
ACY	PPP2R1A		Compendium
ACY	RUNX1		Compendium
ACY	TRRAP		Compendium
ACY	TSC2		Compendium
ALL	AKT1		Compendium
ALL	ASXL1		Compendium
ALL	BCOR		Compendium
ALL	CBL		Compendium
ALL	CHD4		Compendium
ALL	CREBBP		Compendium
ALL	CTCF		Compendium
ALL	ETV6		Compendium
ALL	EZH2		Compendium
ALL	FAT4		Compendium
ALL	FLT3		Compendium
ALL	GATA3		Compendium
ALL	IKZF1		Compendium
ALL	IL7R		Compendium
ALL	JAK2		Compendium
ALL	JAK3		Compendium
ALL	KDM6A		Compendium
ALL	KLF4		Compendium
ALL	KMT2D		Compendium
ALL	KRAS		Compendium
ALL	LZTR1		Compendium
ALL	NF1		Compendium
ALL	NOTCH1		Compendium
ALL	NRAS		Compendium
ALL	NSD2		Compendium
ALL	PHF6		Compendium
ALL	PTPN11		Compendium
ALL	RNF43		Compendium
ALL	RUNX1		Compendium
ALL	SETD2		Compendium
ALL	TBL1XR1		Compendium
ALL	TP53		Compendium
AML	ACSL3		Compendium
AML	ASXL1		Compendium
AML	ASXL2		Compendium
AML	BCLAF1		Compendium
AML	BCOR		Compendium
AML	CBL		Compendium
AML	CCND2		Compendium
AML	CEBPA		Compendium
AML	CR1		Compendium
AML	CSF3R		Compendium
AML	CTCF		Compendium
AML	DDB2		Compendium
AML	DNMT3A		Compendium
AML	ELF4		Compendium
AML	ETV5		Compendium
AML	EZH2		Compendium
AML	FAT4		Compendium
AML	FGD5		Compendium
AML	FLT3		Compendium
AML	GATA2		Compendium
AML	HLA-A		Compendium
