TERM	SYMBOL	CATEGORY	LIST
Activated B cell	ADAM28	Adaptive	Immunome
Activated B cell	CD180	Adaptive	Immunome
Activated B cell	CD79B	Adaptive	Immunome
Activated B cell	BLK	Adaptive	Immunome
Activated B cell	CD19	Adaptive	Immunome
Activated B cell	MS4A1	Adaptive	Immunome
Activated B cell	TNFRSF17	Adaptive	Immunome
Activated B cell	IGHM	Adaptive	Immunome
Activated B cell	GNG7	Adaptive	Immunome
Activated B cell	MICAL3	Adaptive	Immunome
Activated B cell	SPIB	Adaptive	Immunome
Activated B cell	HLA-DOB	Adaptive	Immunome
Activated B cell	IGKC	Adaptive	Immunome
Activated B cell	PNOC	Adaptive	Immunome
Activated B cell	FCRL2	Adaptive	Immunome
Activated B cell	BACH2	Adaptive	Immunome
Activated B cell	CR2	Adaptive	Immunome
Activated B cell	TCL1A	Adaptive	Immunome
Activated B cell	AKNA	Adaptive	Immunome
Activated B cell	ARHGAP25	Adaptive	Immunome
Activated B cell	CCL21	Adaptive	Immunome
Activated B cell	CD27	Adaptive	Immunome
Activated B cell	CD38	Adaptive	Immunome
Activated B cell	CLEC17A	Adaptive	Immunome
Activated B cell	CLEC9A	Adaptive	Immunome
Activated B cell	CLECL1	Adaptive	Immunome
Activated CD4 T cell	AIM2	Adaptive	Immunome
Activated CD4 T cell	BIRC3	Adaptive	Immunome
Activated CD4 T cell	BRIP1	Adaptive	Immunome
Activated CD4 T cell	CCL20	Adaptive	Immunome
Activated CD4 T cell	CCL4	Adaptive	Immunome
Activated CD4 T cell	CCL5	Adaptive	Immunome
Activated CD4 T cell	CCNB1	Adaptive	Immunome
Activated CD4 T cell	CCR7	Adaptive	Immunome
Activated CD4 T cell	DUSP2	Adaptive	Immunome
Activated CD4 T cell	ESCO2	Adaptive	Immunome
Activated CD4 T cell	ETS1	Adaptive	Immunome
Activated CD4 T cell	EXO1	Adaptive	Immunome
Activated CD4 T cell	EXOC6	Adaptive	Immunome
Activated CD4 T cell	IARS	Adaptive	Immunome
Activated CD4 T cell	ITK	Adaptive	Immunome
Activated CD4 T cell	KIF11	Adaptive	Immunome
Activated CD4 T cell	KNTC1	Adaptive	Immunome
Activated CD4 T cell	NUF2	Adaptive	Immunome
Activated CD4 T cell	PRC1	Adaptive	Immunome
Activated CD4 T cell	PSAT1	Adaptive	Immunome
Activated CD4 T cell	RGS1	Adaptive	Immunome
Activated CD4 T cell	RTKN2	Adaptive	Immunome
Activated CD4 T cell	SAMSN1	Adaptive	Immunome
Activated CD4 T cell	SELL	Adaptive	Immunome
Activated CD4 T cell	TRAT1	Adaptive	Immunome
Activated CD8 T cell	ADRM1	Adaptive	Immunome
Activated CD8 T cell	AHSA1	Adaptive	Immunome
Activated CD8 T cell	C1GALT1C1	Adaptive	Immunome
Activated CD8 T cell	CCT6B	Adaptive	Immunome
Activated CD8 T cell	CD37	Adaptive	Immunome
Activated CD8 T cell	CD3D	Adaptive	Immunome
Activated CD8 T cell	CD3E	Adaptive	Immunome
Activated CD8 T cell	CD3G	Adaptive	Immunome
Activated CD8 T cell	CD69	Adaptive	Immunome
Activated CD8 T cell	CD8A	Adaptive	Immunome
Activated CD8 T cell	CETN3	Adaptive	Immunome
Activated CD8 T cell	CSE1L	Adaptive	Immunome
Activated CD8 T cell	GEMIN6	Adaptive	Immunome
Activated CD8 T cell	GNLY	Adaptive	Immunome
Activated CD8 T cell	GPT2	Adaptive	Immunome
Activated CD8 T cell	GZMA	Adaptive	Immunome
Activated CD8 T cell	GZMH	Adaptive	Immunome
Activated CD8 T cell	GZMK	Adaptive	Immunome
Activated CD8 T cell	IL2RB	Adaptive	Immunome
Activated CD8 T cell	LCK	Adaptive	Immunome
Activated CD8 T cell	MPZL1	Adaptive	Immunome
Activated CD8 T cell	NKG7	Adaptive	Immunome
Activated CD8 T cell	PIK3IP1	Adaptive	Immunome
Activated CD8 T cell	PTRH2	Adaptive	Immunome
Activated CD8 T cell	TIMM13	Adaptive	Immunome
Activated CD8 T cell	ZAP70	Adaptive	Immunome
Activated dendritic cell	ABCD1	Innate	Immunome
Activated dendritic cell	C1QC	Innate	Immunome
Activated dendritic cell	CAPG	Innate	Immunome
Activated dendritic cell	CCL3L3	Innate	Immunome
Activated dendritic cell	CD207	Innate	Immunome
Activated dendritic cell	CD302	Innate	Immunome
Activated dendritic cell	ATP5B	Innate	Immunome
Activated dendritic cell	ATP5L	Innate	Immunome
Activated dendritic cell	ATP6V1A	Innate	Immunome
Activated dendritic cell	BCL2L1	Innate	Immunome
