TERM	SYMBOL	CATEGORY	LIST
Seiwert	CXCL9		Inflammation
Seiwert	CXCL10		Inflammation
Seiwert	HLA-DRA		Inflammation
Seiwert	IDO1		Inflammation
Seiwert	IFNG		Inflammation
Seiwert	STAT1		Inflammation
Danaher	CCL5		Inflammation
Danaher	CD27		Inflammation
Danaher	CD274		Inflammation
Danaher	CD276		Inflammation
Danaher	CD8A		Inflammation
Danaher	CMKLR1		Inflammation
Danaher	CXCL9		Inflammation
Danaher	CXCR6		Inflammation
Danaher	HLA-DQA1		Inflammation
Danaher	HLA-DRB1		Inflammation
Danaher	HLA-E		Inflammation
Danaher	IDO1		Inflammation
Danaher	LAG3		Inflammation
Danaher	NKG7		Inflammation
Danaher	PDCD1LG2		Inflammation
Danaher	PSMB10		Inflammation
Danaher	STAT1		Inflammation
Danaher	TIGIT		Inflammation
Ayers	CCL5		Inflammation
Ayers	CD2		Inflammation
Ayers	CD3D		Inflammation
Ayers	CD3E		Inflammation
Ayers	CIITA		Inflammation
Ayers	CXCL10		Inflammation
Ayers	CXCL13		Inflammation
Ayers	CXCR6		Inflammation
Ayers	GZMB		Inflammation
Ayers	GZMK		Inflammation
Ayers	HLA-DRA		Inflammation
Ayers	HLA-E		Inflammation
Ayers	IDO1		Inflammation
Ayers	IL2RG		Inflammation
Ayers	LAG3		Inflammation
Ayers	NKG7		Inflammation
Ayers	STAT1		Inflammation
Ayers	TAGAP		Inflammation
