TERM	SYMBOL	CATEGORY	LIST
Sphingolipid	ABCC1		Manuela
cAMP	ABCC4		Manuela
Cell cycle	ABL1		Manuela
ErbB	ABL1		Manuela
Ras	ABL1		Manuela
ErbB	ABL2		Manuela
Ras	ABL2		Manuela
PPAR	ACAA1		Manuela
AMPK	ACACA		Manuela
Insulin	ACACA		Manuela
AMPK	ACACB		Manuela
Insulin	ACACB		Manuela
PPAR	ACADL		Manuela
PPAR	ACADM		Manuela
Sphingolipid	ACER1		Manuela
Sphingolipid	ACER2		Manuela
Cytokine-cytokine receptor interaction	ACKR3		Manuela
Cytokine-cytokine receptor interaction	ACKR4		Manuela
cAMP	ACOX1		Manuela
PPAR	ACOX1		Manuela
PPAR	ACOX2		Manuela
cAMP	ACOX3		Manuela
PPAR	ACOX3		Manuela
PPAR	ACSBG1		Manuela
PPAR	ACSBG2		Manuela
PPAR	ACSL1		Manuela
PPAR	ACSL3		Manuela
PPAR	ACSL4		Manuela
PPAR	ACSL5		Manuela
PPAR	ACSL6		Manuela
Apelin	ACTA2		Manuela
Hippo	ACTB		Manuela
Rap1	ACTB		Manuela
Thyroid hormone	ACTB		Manuela
Hippo	ACTG1		Manuela
Rap1	ACTG1		Manuela
Thyroid hormone	ACTG1		Manuela
Cytokine-cytokine receptor interaction	ACVR1		Manuela
TGF-beta	ACVR1		Manuela
Cytokine-cytokine receptor interaction	ACVR1B		Manuela
TGF-beta	ACVR1B		Manuela
Cytokine-cytokine receptor interaction	ACVR1C		Manuela
TGF-beta	ACVR1C		Manuela
Cytokine-cytokine receptor interaction	ACVR2A		Manuela
TGF-beta	ACVR2A		Manuela
Cytokine-cytokine receptor interaction	ACVR2B		Manuela
TGF-beta	ACVR2B		Manuela
Cytokine-cytokine receptor interaction	ACVRL1		Manuela
Notch	ADAM17		Manuela
Apelin	ADCY1		Manuela
Calcium	ADCY1		Manuela
cAMP	ADCY1		Manuela
cGMP-PKG	ADCY1		Manuela
Chemokine	ADCY1		Manuela
Estrogen	ADCY1		Manuela
Phospholipase D	ADCY1		Manuela
Rap1	ADCY1		Manuela
Apelin	ADCY10		Manuela
cAMP	ADCY10		Manuela
Apelin	ADCY2		Manuela
Calcium	ADCY2		Manuela
cAMP	ADCY2		Manuela
cGMP-PKG	ADCY2		Manuela
Chemokine	ADCY2		Manuela
Estrogen	ADCY2		Manuela
Phospholipase D	ADCY2		Manuela
Rap1	ADCY2		Manuela
Apelin	ADCY3		Manuela
Calcium	ADCY3		Manuela
cAMP	ADCY3		Manuela
cGMP-PKG	ADCY3		Manuela
Chemokine	ADCY3		Manuela
Estrogen	ADCY3		Manuela
Phospholipase D	ADCY3		Manuela
Rap1	ADCY3		Manuela
Apelin	ADCY4		Manuela
Calcium	ADCY4		Manuela
cAMP	ADCY4		Manuela
cGMP-PKG	ADCY4		Manuela
Chemokine	ADCY4		Manuela
Estrogen	ADCY4		Manuela
Phospholipase D	ADCY4		Manuela
Rap1	ADCY4		Manuela
Apelin	ADCY5		Manuela
cAMP	ADCY5		Manuela
cGMP-PKG	ADCY5		Manuela
Chemokine	ADCY5		Manuela
Estrogen	ADCY5		Manuela
Phospholipase D	ADCY5		Manuela
Rap1	ADCY5		Manuela
Apelin	ADCY6		Manuela
cAMP	ADCY6		Manuela
cGMP-PKG	ADCY6		Manuela
Chemokine	ADCY6		Manuela
Estrogen	ADCY6		Manuela
Phospholipase D	ADCY6		Manuela
Rap1	ADCY6		Manuela
Apelin	ADCY7		Manuela
Calcium	ADCY7		Manuela
cAMP	ADCY7		Manuela
cGMP-PKG	ADCY7		Manuela
Chemokine	ADCY7		Manuela
Estrogen	ADCY7		Manuela
Phospholipase D	ADCY7		Manuela
Rap1	ADCY7		Manuela
Apelin	ADCY8		Manuela
Calcium	ADCY8		Manuela
cAMP	ADCY8		Manuela
cGMP-PKG	ADCY8		Manuela
Chemokine	ADCY8		Manuela
Estrogen	ADCY8		Manuela
Phospholipase D	ADCY8		Manuela
Rap1	ADCY8		Manuela
Apelin	ADCY9		Manuela
Calcium	ADCY9		Manuela
cAMP	ADCY9		Manuela
cGMP-PKG	ADCY9		Manuela
Chemokine	ADCY9		Manuela
Estrogen	ADCY9		Manuela
Phospholipase D	ADCY9		Manuela
Rap1	ADCY9		Manuela
cAMP	ADCYAP1R1		Manuela
p53	ADGRB1		Manuela
AMPK	ADIPOQ		Manuela
PPAR	ADIPOQ		Manuela
AMPK	ADIPOR1		Manuela
AMPK	ADIPOR2		Manuela
cAMP	ADORA1		Manuela
cGMP-PKG	ADORA1		Manuela
Sphingolipid	ADORA1		Manuela
Calcium	ADORA2A		Manuela
cAMP	ADORA2A		Manuela
Rap1	ADORA2A		Manuela
Calcium	ADORA2B		Manuela
Rap1	ADORA2B		Manuela
cGMP-PKG	ADORA3		Manuela
Sphingolipid	ADORA3		Manuela
AMPK	ADRA1A		Manuela
Calcium	ADRA1A		Manuela
cGMP-PKG	ADRA1A		Manuela
Calcium	ADRA1B		Manuela
cGMP-PKG	ADRA1B		Manuela
Calcium	ADRA1D		Manuela
cGMP-PKG	ADRA1D		Manuela
cGMP-PKG	ADRA2A		Manuela
cGMP-PKG	ADRA2B		Manuela
cGMP-PKG	ADRA2C		Manuela
Calcium	ADRB1		Manuela
cAMP	ADRB1		Manuela
cGMP-PKG	ADRB1		Manuela
Calcium	ADRB2		Manuela
cAMP	ADRB2		Manuela
cGMP-PKG	ADRB2		Manuela
Calcium	ADRB3		Manuela
cGMP-PKG	ADRB3		Manuela
cAMP	AFDN		Manuela
