TERM	SYMBOL	CATEGORY	LIST
Stem	PLA2G2A	Epithelial	Markers
Stem	OLFM4	Epithelial	Markers
Stem	LEFTY1	Epithelial	Markers
Stem	PIGR	Epithelial	Markers
Stem	LCN2	Epithelial	Markers
Stem	RPS6	Epithelial	Markers
Stem	RPS3A	Epithelial	Markers
Stem	REG1A	Epithelial	Markers
Stem	RPL5	Epithelial	Markers
Stem	RPSA	Epithelial	Markers
Stem	RPL3	Epithelial	Markers
Stem	RPL10A	Epithelial	Markers
Stem	TXN	Epithelial	Markers
Stem	RPS27A	Epithelial	Markers
Stem	RPLP1	Epithelial	Markers
Stem	RPS8	Epithelial	Markers
Stem	B3GNT7	Epithelial	Markers
Stem	RPLP0	Epithelial	Markers
Stem	TSPAN8	Epithelial	Markers
Stem	RPS4X	Epithelial	Markers
Stem	RPL34	Epithelial	Markers
Stem	NACA	Epithelial	Markers
Stem	RPS14	Epithelial	Markers
Stem	RPS7	Epithelial	Markers
Stem	RPL9	Epithelial	Markers
Stem	RPS24	Epithelial	Markers
Stem	RPL6	Epithelial	Markers
Stem	GPX2	Epithelial	Markers
Stem	EEF1B2	Epithelial	Markers
Stem	RPL13A	Epithelial	Markers
Stem	RPL32	Epithelial	Markers
Stem	RPS13	Epithelial	Markers
Stem	RPL18A	Epithelial	Markers
Stem	NUPR1	Epithelial	Markers
Stem	PRAC1	Epithelial	Markers
Stem	UQCRH	Epithelial	Markers
Stem	RPL7A	Epithelial	Markers
Stem	RPL23A	Epithelial	Markers
Stem	RPS5	Epithelial	Markers
Stem	RPL19	Epithelial	Markers
Stem	RPS15A	Epithelial	Markers
Stem	RPL23	Epithelial	Markers
Stem	RPL14	Epithelial	Markers
Stem	GOLM1	Epithelial	Markers
Stem	ATP5MC1	Epithelial	Markers
Stem	RPL7	Epithelial	Markers
Stem	UGT2B17	Epithelial	Markers
Stem	RPS18	Epithelial	Markers
Stem	PEBP1	Epithelial	Markers
Stem	RPS19	Epithelial	Markers
Stem	RPS23	Epithelial	Markers
Stem	RPS2	Epithelial	Markers
Stem	AGR2	Epithelial	Markers
Stem	RPS16	Epithelial	Markers
Stem	RPS9	Epithelial	Markers
Stem	SLPI	Epithelial	Markers
Stem	KLF5	Epithelial	Markers
Stem	YBX1	Epithelial	Markers
Stem	ATP5MC2	Epithelial	Markers
Stem	CD24	Epithelial	Markers
Stem	RPL35A	Epithelial	Markers
Stem	RPS3	Epithelial	Markers
Stem	DMBT1	Epithelial	Markers
Stem	RPS27	Epithelial	Markers
Stem	SPINK1	Epithelial	Markers
Stem	MT1E	Epithelial	Markers
Stem	RPL37	Epithelial	Markers
Stem	RPS20	Epithelial	Markers
Stem	RPL30	Epithelial	Markers
Stem	ADH1C	Epithelial	Markers
Stem	RPL28	Epithelial	Markers
Stem	AGR3	Epithelial	Markers
Stem	RPL12	Epithelial	Markers
Stem	TSPO	Epithelial	Markers
Stem	RPL27	Epithelial	Markers
Stem	PRDX5	Epithelial	Markers
Stem	RPS21	Epithelial	Markers
Stem	ACTG1	Epithelial	Markers
Stem	PPP1R1B	Epithelial	Markers
Stem	MLEC	Epithelial	Markers
Stem	RPL21	Epithelial	Markers
Stem	NXPE4	Epithelial	Markers
Stem	EIF3E	Epithelial	Markers
Stem	C1QBP	Epithelial	Markers
Stem	RARRES2	Epithelial	Markers
Stem	RPL4	Epithelial	Markers
Stem	PTMA	Epithelial	Markers
Stem	HSPA1A	Epithelial	Markers
Stem	MGST3	Epithelial	Markers
Stem	TMSB10	Epithelial	Markers
Stem	FTL	Epithelial	Markers
Stem	MT1X	Epithelial	Markers
Stem	FAM162A	Epithelial	Markers
Stem	CD9	Epithelial	Markers
Stem	RPL31	Epithelial	Markers
Stem	LGALS4	Epithelial	Markers
Stem	RACK1	Epithelial	Markers
Stem	FAM3D	Epithelial	Markers
Stem	NXPE1	Epithelial	Markers
Stem	GAPDH	Epithelial	Markers
Stem	RPS4Y1	Epithelial	Markers
Stem	MGST2	Epithelial	Markers
Stem	PPIB	Epithelial	Markers
Stem	MAOA	Epithelial	Markers
Stem	APP	Epithelial	Markers
Stem	PPA1	Epithelial	Markers
Stem	ANXA2	Epithelial	Markers
Stem	GSTP1	Epithelial	Markers
Stem	PABPC1	Epithelial	Markers
Stem	HSP90AB1	Epithelial	Markers
Stem	HSPE1	Epithelial	Markers
Stem	S100A11	Epithelial	Markers
Stem	FOS	Epithelial	Markers
Stem	EIF3L	Epithelial	Markers
