TERM	SYMBOL	CATEGORY	LIST
aDC	CCL1		Senbabaoglu
aDC	EBI3		Senbabaoglu
aDC	IDO1		Senbabaoglu
aDC	LAMP3		Senbabaoglu
aDC	OAS3		Senbabaoglu
B cells	ABCB4		Senbabaoglu
B cells	BACH2		Senbabaoglu
B cells	BCL11A		Senbabaoglu
B cells	BLK		Senbabaoglu
B cells	BLNK		Senbabaoglu
B cells	BLNK		Senbabaoglu
B cells	CCR9		Senbabaoglu
B cells	CD19		Senbabaoglu
B cells	CD72		Senbabaoglu
B cells	COCH		Senbabaoglu
B cells	CR2		Senbabaoglu
B cells	DTNB		Senbabaoglu
B cells	FCRL2		Senbabaoglu
B cells	GLDC		Senbabaoglu
B cells	GNG7		Senbabaoglu
B cells	HLA-DOB		Senbabaoglu
B cells	HLA-DOB		Senbabaoglu
B cells	HLA-DOB		Senbabaoglu
B cells	HLA-DOB		Senbabaoglu
B cells	HLA-DOB		Senbabaoglu
B cells	HLA-DOB		Senbabaoglu
B cells	HLA-DQA1		Senbabaoglu
B cells	HLA-DQA1		Senbabaoglu
B cells	HLA-DQA1		Senbabaoglu
B cells	HLA-DQA1		Senbabaoglu
B cells	HLA-DQA1		Senbabaoglu
B cells	HLA-DQA1		Senbabaoglu
B cells	IGHA1		Senbabaoglu
B cells	IGHA1		Senbabaoglu
B cells	IGHG1		Senbabaoglu
B cells	IGHG1		Senbabaoglu
B cells	IGHM		Senbabaoglu
B cells	IGHM		Senbabaoglu
B cells	IGKC		Senbabaoglu
B cells	KIAA0125		Senbabaoglu
B cells	MEF2C		Senbabaoglu
B cells	MICAL3		Senbabaoglu
B cells	MS4A1		Senbabaoglu
B cells	OSBPL10		Senbabaoglu
B cells	PNOC		Senbabaoglu
B cells	QRSL1		Senbabaoglu
B cells	SCN3A		Senbabaoglu
B cells	SLC15A2		Senbabaoglu
B cells	SPIB		Senbabaoglu
B cells	TCL1A		Senbabaoglu
B cells	TNFRSF17		Senbabaoglu
CD8 T cells	ABT1		Senbabaoglu
CD8 T cells	ABT1		Senbabaoglu
CD8 T cells	AES		Senbabaoglu
CD8 T cells	APBA2		Senbabaoglu
CD8 T cells	ARHGAP8		Senbabaoglu
CD8 T cells	CAMLG		Senbabaoglu
CD8 T cells	CD8A		Senbabaoglu
CD8 T cells	CD8B		Senbabaoglu
CD8 T cells	CDKN2AIP		Senbabaoglu
CD8 T cells	DNAJB1		Senbabaoglu
CD8 T cells	FLT3LG		Senbabaoglu
CD8 T cells	GADD45A		Senbabaoglu
CD8 T cells	GZMM		Senbabaoglu
CD8 T cells	HAUS3		Senbabaoglu
CD8 T cells	KLF9		Senbabaoglu
CD8 T cells	LEPROTL1		Senbabaoglu
CD8 T cells	LIME1		Senbabaoglu
CD8 T cells	MAPKAPK5-AS1		Senbabaoglu
CD8 T cells	PF4		Senbabaoglu
CD8 T cells	PPP1R2		Senbabaoglu
CD8 T cells	PRF1		Senbabaoglu
CD8 T cells	PRR5		Senbabaoglu
CD8 T cells	RBM3		Senbabaoglu
CD8 T cells	RBM3		Senbabaoglu
CD8 T cells	SF1		Senbabaoglu
CD8 T cells	SLC16A7		Senbabaoglu
CD8 T cells	SRSF7		Senbabaoglu
CD8 T cells	TBCC		Senbabaoglu
CD8 T cells	THUMPD1		Senbabaoglu
CD8 T cells	TMC6		Senbabaoglu
CD8 T cells	TMEM259		Senbabaoglu
CD8 T cells	TSC22D3		Senbabaoglu
CD8 T cells	VAMP2		Senbabaoglu
CD8 T cells	ZEB1		Senbabaoglu
CD8 T cells	ZFP36L2		Senbabaoglu
CD8 T cells	ZNF22		Senbabaoglu
CD8 T cells	ZNF609		Senbabaoglu
CD8 T cells	ZNF91		Senbabaoglu
cytotoxic cells	APBA2		Senbabaoglu
cytotoxic cells	APOL3		Senbabaoglu
cytotoxic cells	CTSW		Senbabaoglu
cytotoxic cells	DUSP2		Senbabaoglu
cytotoxic cells	GNLY		Senbabaoglu
cytotoxic cells	GZMA		Senbabaoglu
cytotoxic cells	GZMH		Senbabaoglu
cytotoxic cells	KLRB1		Senbabaoglu
cytotoxic cells	KLRD1		Senbabaoglu
cytotoxic cells	KLRF1		Senbabaoglu
cytotoxic cells	KLRK1		Senbabaoglu
cytotoxic cells	NKG7		Senbabaoglu
cytotoxic cells	RORA		Senbabaoglu
cytotoxic cells	RUNX3		Senbabaoglu
cytotoxic cells	SIGIRR		Senbabaoglu
cytotoxic cells	WHAMMP3		Senbabaoglu
cytotoxic cells	ZBTB16		Senbabaoglu
DC	CCL13		Senbabaoglu
DC	CCL17		Senbabaoglu
DC	CCL22		Senbabaoglu
DC	CD209		Senbabaoglu
DC	HSD11B1		Senbabaoglu
