"CMS","gene"
"CMS1","TNNT1"
"CMS1","DUSP4"
"CMS1","SECTM1"
"CMS1","MAPK12"
"CMS1","ADGRG6"
"CMS1","TRIB2"
"CMS1","RAB27B"
"CMS1","FSCN1"
"CMS1","WARS"
"CMS1","ETV5"
"CMS1","TYMS"
"CMS1","PRF1"
"CMS1","ENO2"
"CMS1","TFAP2A"
"CMS1","MOCOS"
"CMS1","APOL2"
"CMS1","PLLP"
"CMS1","GAS2L1"
"CMS1","MT2A"
"CMS1","IRF1"
"CMS1","ICAM1"
"CMS1","GRAMD1B"
"CMS1","PIWIL1"
"CMS1","UBE2L6"
"CMS1","RAMP1"
"CMS1","HSPA4L"
"CMS1","SKA1"
"CMS1","RHOF"
"CMS1","PLK2"
"CMS1","IFIT2"
"CMS1","RAC3"
"CMS1","DBN1"
"CMS1","ARNTL2"
"CMS1","IFIT3"
"CMS1","CLSPN"
"CMS1","BLVRA"
"CMS1","IFI30"
"CMS1","STAT1"
"CMS1","XAF1"
"CMS1","SLC7A11"
"CMS1","RARRES1"
"CMS1","TAP1"
"CMS1","FDXR"
"CMS1","PRSS12"
"CMS1","CTSE"
"CMS1","ABCA3"
"CMS1","BST2"
"CMS1","PTPRU"
"CMS1","PBK"
"CMS1","MICB"
"CMS1","OAS2"
"CMS1","LY6E"
"CMS1","APOL1"
"CMS1","BIRC3"
"CMS1","KIAA1549L"
"CMS1","PSMB9"
"CMS1","MT1X"
"CMS1","MYRF"
"CMS1","PMAIP1"
"CMS1","MTCL1"
"CMS1","GAD1"
"CMS1","TNFAIP2"
"CMS1","CXCR4"
"CMS1","ZBED2"
"CMS1","SLC1A3"
"CMS1","OASL"
"CMS1","CD55"
"CMS1","ISG15"
"CMS1","PLA2G4A"
"CMS1","SNPH"
"CMS1","APLP1"
"CMS1","KYNU"
"CMS1","CRIP1"
"CMS1","KLK10"
"CMS1","SLC43A3"
"CMS1","TIAM1"
"CMS1","BAG2"
"CMS1","MX1"
"CMS1","FOSL1"
"CMS1","WNT7B"
"CMS1","NTSR1"
"CMS1","SERPINB5"
"CMS1","AGR2"
"CMS1","AQP5"
"CMS1","DAPK1"
"CMS1","DPP4"
"CMS1","UST"
"CMS1","FAM169A"
"CMS1","GLS2"
"CMS1","SLC1A1"
"CMS1","EPHB6"
"CMS1","APOE"
"CMS1","IGF2BP3"
"CMS1","SPON1"
"CMS1","LYZ"
"CMS1","SAMD9"
"CMS1","ADGRB2"
"CMS1","PNMA2"
"CMS1","TENM3"
"CMS1","ATP1A3"
"CMS1","ANO1"
"CMS1","MCTP1"
"CMS1","GCNT3"
"CMS1","CXCL8"
"CMS1","SLC4A3"
"CMS1","AHNAK2"
"CMS1","KCNK1"
"CMS1","CALB2"
"CMS1","TM4SF4"
"CMS1","MLPH"
"CMS1","TNS4"
"CMS1","IFI6"
"CMS1","HSD17B2"
"CMS1","OLR1"
"CMS1","MAOB"
"CMS1","PLAC8"
"CMS1","CALB1"
"CMS1","SLC4A4"
"CMS1","FRAS1"
"CMS1","TRIM29"
"CMS1","ANKRD1"
"CMS1","KLK11"
"CMS1","ALPP"
"CMS1","PI3"
"CMS1","CXCL5"
"CMS1","KRT6A"
"CMS1","ALPPL2"
"CMS2","LY6G6D"
"CMS2","QPRT"
"CMS2","FARP1"
"CMS2","VAV3"
"CMS2","RUBCNL"
"CMS2","ENGASE"
"CMS2","HUNK"
"CMS2","TSPAN6"
"CMS2","IHH"
"CMS2","CYP2B6"
"CMS2","SGK2"
"CMS2","RNF43"
"CMS2","ASCL2"
"CMS2","ACSL6"
"CMS2","EREG"
"CMS2","GNG4"
"CMS2","MPP1"
"CMS2","CEBPA"
"CMS2","NR1I2"
"CMS2","PPP1R14D"
"CMS2","CEL"
"CMS2","ARID3A"
"CMS2","A1CF"
"CMS2","KHDRBS3"
"CMS2","DRD2"
"CMS2","SATB2"
"CMS2","CDHR1"
"CMS2","DDC"
"CMS2","KRT23"
"CMS2","GGH"
"CMS2","DPEP1"
"CMS2","TFCP2L1"
"CMS2","C2orf54"
"CMS2","SESN1"
"CMS2","AREG"
"CMS2","TLE2"
"CMS2","CAB39L"
"CMS2","PTPRD"
"CMS2","CDX2"
"CMS2","AOAH"
"CMS2","MEP1A"
"CMS2","PLCB4"
"CMS2","CFTR"
"CMS2","SRPX2"
"CMS2","GABRE"
"CMS2","PTPRO"
"CMS2","CLDN15"
"CMS2","ID1"
"CMS2","CTSV"
"CMS2","CXCL14"
"CMS2","DMD"
"CMS2","ABCC2"
"CMS2","DACH1"
"CMS2","CHP2"
"CMS2","SELENBP1"
"CMS2","FABP1"
"CMS2","SLC9A3"
"CMS2","CPNE7"
"CMS2","SPINK1"
"CMS2","NOX1"
"CMS2","PCLO"
"CMS2","CDHR2"
"CMS2","WNT11"
"CMS2","GAL"
"CMS2","CPLX2"
"CMS2","NRXN3"
"CMS2","FAM189A1"
"CMS2","SCN5A"
"CMS2","FBXO2"
"CMS2","CADPS"
"CMS2","FER1L4"
"CMS2","STRA6"
"CMS2","ABCB1"
"CMS2","COL9A3"
"CMS2","UGT1A8"
"CMS2","HMGCS2"
"CMS2","CACNG4"
"CMS2","BMP7"
"CMS2","CYP24A1"
"CMS2","FZD10"
"CMS2","FOXJ1"
"CMS2","OLFM4"
"CMS3","PTGER2"
"CMS3","IL1R2"
"CMS3","ZBTB7C"
"CMS3","BCAS1"
"CMS3","AQP3"
"CMS3","FAM174B"
"CMS3","SLC9A2"
"CMS3","KIAA1324"
"CMS3","RAP1GAP"
"CMS3","MLPH"
"CMS3","RAB27B"
"CMS3","AGR2"
"CMS3","CADPS"
"CMS3","HSPA2"
"CMS3","KLF4"
"CMS3","KLK11"
"CMS3","LGALS4"
"CMS3","CREB3L1"
"CMS3","SERPINA1"
"CMS3","CTSE"
"CMS3","SLC39A8"
"CMS3","EPHA4"
"CMS3","ST3GAL4"
"CMS3","ARSJ"
"CMS3","PCCA"
"CMS3","PRUNE2"
"CMS3","TFF1"
"CMS3","CCL24"
"CMS3","FGFR2"
"CMS3","DSC3"
"CMS3","MUC2"
"CMS3","FAM13A"
"CMS3","SMAD9"
"CMS3","GNE"
"CMS3","TFF3"
"CMS3","ERN2"
"CMS3","ATP8A1"
"CMS3","TNFRSF11B"
"CMS3","ANXA13"
"CMS3","GUCY2C"
"CMS3","ALDH1L1"
"CMS3","ALDH3A1"
"CMS3","PDE9A"
"CMS3","CYP3A5"
"CMS3","UGT1A8"
"CMS3","C2orf72"
"CMS3","SCNN1A"
"CMS3","PTPN13"
"CMS3","GPA33"
"CMS3","NMU"
"CMS3","ATP2A3"
"CMS3","TFAP2A"
"CMS3","MAOA"
"CMS3","SPINK1"
"CMS3","DACH1"
"CMS3","CPS1"
"CMS3","PADI2"
"CMS3","FOXA1"
"CMS3","MATN2"
"CMS3","KRT20"
"CMS3","HMGCS2"
"CMS3","PIGR"
"CMS3","CKB"
"CMS3","CA12"
"CMS3","IGFBP2"
"CMS3","PPP1R9A"
"CMS3","RAB3B"
"CMS3","LYZ"
"CMS3","ADGRF1"
"CMS3","LCN2"
"CMS3","LRP4"
"CMS3","CA9"
"CMS3","NOX1"
"CMS3","GAD1"
"CMS3","ALDH1A2"
"CMS3","PCLO"
"CMS3","CDHR1"
"CMS3","SLC4A4"
"CMS3","OLFM4"
"CMS3","DKK1"
"CMS3","FABP1"
"CMS3","SLCO1B3"
"CMS3","TM4SF4"
"CMS3","VGLL1"
"CMS4","SYDE1"
"CMS4","MRAS"
"CMS4","FERMT2"
"CMS4","GLI3"
"CMS4","MYL9"
"CMS4","EVC"
"CMS4","MAP1A"
"CMS4","FGFR1"
"CMS4","SERPINF1"
"CMS4","SPOCK1"
"CMS4","ATP8B2"
"CMS4","VIM"
"CMS4","DZIP1"
"CMS4","TIMP2"
"CMS4","FBLN1"
"CMS4","TNS1"
"CMS4","ANGPTL2"
"CMS4","ARHGEF17"
"CMS4","ANTXR1"
"CMS4","SYT11"
"CMS4","NRP2"
"CMS4","MFGE8"
"CMS4","LBH"
"CMS4","FBN1"
"CMS4","MPDZ"
"CMS4","COL6A2"
"CMS4","AXL"
"CMS4","PTPRM"
"CMS4","AKT3"
"CMS4","ZEB1"
"CMS4","TGFB1I1"
"CMS4","HSPB8"
"CMS4","FILIP1L"
"CMS4","TCF4"
"CMS4","C14orf132"
"CMS4","NOTCH3"
"CMS4","IL1R1"
"CMS4","TIMP3"
"CMS4","PKD2"
"CMS4","TUBB6"
"CMS4","CDH11"
"CMS4","LAMA4"
"CMS4","MRC2"
"CMS4","PTRF"
"CMS4","FHL1"
"CMS4","PLEKHO1"
"CMS4","DPYSL3"
"CMS4","ITGA5"
"CMS4","COPZ2"
"CMS4","MCC"
"CMS4","PCDH7"
"CMS4","APBB1"
"CMS4","LOX"
"CMS4","TMEM47"
"CMS4","PDLIM7"
"CMS4","INHBA"
"CMS4","SPON2"
"CMS4","COL18A1"
"CMS4","C16orf45"
"CMS4","CYBRD1"
"CMS4","CNTNAP1"
"CMS4","EML1"
